,Neurons,Astrocytes,Oligodendrocytes,Microglia,Endothelia
ENSG00000053371,3.813789843,9.883262875,4.660262205,6.679008923,6.582963974
ENSG00000142208,1.034076184,1.529495793,1.878217113,2.670381192,4.423651772
ENSG00000105221,1.84388984,4.44805861,2.790036212,2.883750638,3.031949511
ENSG00000117020,59.23938953,55.02751016,56.88357368,44.99963797,95.37561168
ENSG00000166971,8.818363646,7.597054798,9.137237924,2.037188901,6.976988829
ENSG00000148218,5.308327491,10.55616333,14.95646198,4.024611063,7.564549621
ENSG00000023330,7.86367146,7.249630503,7.862278119,12.00181338,23.05743684
ENSG00000170017,35.08165982,48.3711704,84.56041034,18.93351251,13.02812006
ENSG00000059573,3.529932238,3.41160014,3.287258789,6.20207586,3.738120572
ENSG00000165092,3.819485458,75.64084465,2.286872977,3.673589889,18.71787762
ENSG00000184254,0.614814445,0.448415314,2.137673432,2.985554876,0.920849129
ENSG00000137124,1.251373909,1.265411638,1.193799648,2.12393997,2.408707769
ENSG00000144908,0.276270218,18.72173895,0.679696942,1.031157216,0.97578894
ENSG00000136010,3.412556373,2.658323492,1.434040739,1.751082867,1.112231067
ENSG00000111275,21.38078807,114.2393736,13.52602286,36.39186532,30.65358271
ENSG00000072210,7.546836293,7.892390997,11.19596161,6.141779379,5.63194403
ENSG00000112294,10.09854956,8.318724422,2.46852187,3.893280455,3.404630927
ENSG00000119711,3.280250224,20.11074241,9.212516919,6.124611052,3.760196861
ENSG00000164904,3.653738828,27.18955536,8.83336158,3.126084532,7.769660013
ENSG00000143149,6.327983317,37.13980535,16.91897141,21.15156136,11.22350648
ENSG00000149925,81.30396313,53.65074846,35.14980767,33.77653754,62.54445967
ENSG00000175548,1.777759074,3.191451382,1.851366775,4.224988517,6.397724902
ENSG00000253710,2.27210349,1.697017346,3.653379624,7.178533007,3.776361913
ENSG00000101901,9.676295437,7.761890385,10.82501008,20.03800444,13.82088822
ENSG00000172339,3.092687804,3.611712903,4.542758472,2.577052591,3.519935131
ENSG00000119523,5.258931259,7.852667419,4.914292271,8.710895568,8.328897246
ENSG00000214160,2.367206059,2.475593326,2.879549182,5.619315943,9.291990302
ENSG00000120697,15.37458372,14.23114119,18.50464373,19.89244449,11.55548533
ENSG00000088035,5.756957292,4.674445462,3.878263107,6.582406671,2.252182684
ENSG00000159063,11.22698834,13.26625984,16.83971074,25.69705477,11.24074891
ENSG00000171094,7.171539298,6.219880306,2.670897273,1.551466276,1.188474543
