"specimenID","libraryID","platform","RIN","rnaBatch","libraryBatch","sequencingBatch","libraryPrep","libraryPreparationMethod","isStranded","readStrandOrigin","runType","readLength","barcode","totalReads","mapped","rRNA.rate","assay","referenceSet","libraryVersion","DV200","validBarcodeReads"
"BM_36_317","BM_36_317","HiSeq2500",6.2,"NA","NA","S110B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,317,38571672,37861949,0.0044915807,"rnaSeq",,,,
"hB_RNA_16415","hB_RNA_16415","HiSeq2500",10,"NA","NA","E008C189","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,16415,38583304,37839203,0.0039915745,"rnaSeq",,,,
"hB_RNA_4521","hB_RNA_4521","HiSeq2500",5.4,"NA","NA","K82C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,4521,38591349,36542197,0.005833311,"rnaSeq",,,,
"hB_RNA_8595","hB_RNA_8595","HiSeq2500",7.8,"NA","NA","K85C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,8595,38595975,37599391,0.013569528,"rnaSeq",,,,
"BM_10_576","BM_10_576","HiSeq2500",7.1,"NA","NA","S112B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,576,38671552,37373527,0.00239972,"rnaSeq",,,,
"BM_22_102","BM_22_102","HiSeq2500",6,"NA","NA","S113B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,102,38677633,37639340,0.002323686,"rnaSeq",,,,
"BM_10_666","BM_10_666","HiSeq2500",7.9,"NA","NA","S107B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,666,38683972,37828189,0.0019428105,"rnaSeq",,,,
"hB_RNA_11082","hB_RNA_11082","HiSeq2500",3.3,"NA","NA","K79C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,11082,38724766,37425073,0.01720809,"rnaSeq",,,,
"BM_36_486","BM_36_486","HiSeq2500",7.2,"NA","NA","S151B648","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,486,38770400,37888204,0.001727081,"rnaSeq",,,,
"BM_10_778","BM_10_778","HiSeq2500",8,"NA","NA","S109B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,778,38770599,38232783,0.0014477627,"rnaSeq",,,,
"BM_22_158","BM_22_158","HiSeq2500",5,"NA","NA","S114B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,158,38785500,36777177,0.0105376765,"rnaSeq",,,,
"hB_RNA_7795","hB_RNA_7795","HiSeq2500",7.3,"NA","NA","E2C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,7795,38844130,34570513,0.028173722,"rnaSeq",,,,
"BM_10_573","BM_10_573","HiSeq2500",6.2,"NA","NA","S112B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,573,38870284,37774872,0.0012533464,"rnaSeq",,,,
"BM_22_136","BM_22_136","HiSeq2500",6.7,"NA","NA","S114B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,136,38871429,37709731,0.0022659933,"rnaSeq",,,,
"BM_10_663","BM_10_663","HiSeq2500",6.5,"NA","NA","S107B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,663,38891952,37618872,0.0049172393,"rnaSeq",,,,
"hB_RNA_16625","hB_RNA_16625","HiSeq2500",9.9,"NA","NA","E008C189","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,16625,38906506,38154378,0.004047976,"rnaSeq",,,,
"BM_22_95","BM_22_95","HiSeq2500",6,"NA","NA","S113B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,95,38928370,37652779,0.001961502,"rnaSeq",,,,
"BM_36_397","BM_36_397","HiSeq2500",7.7,"NA","NA","S111B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,397,38938987,38134238,0.0035039901,"rnaSeq",,,,
"BM_36_544","BM_36_544","HiSeq2500",5.1,"NA","NA","P19B648","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,544,38959634,37922794,0.0030022052,"rnaSeq",,,,
"BM_36_305","BM_36_305","HiSeq2500",8.1,"NA","NA","S110B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,305,38985614,38309117,0.0034082488,"rnaSeq",,,,
"BM_10_551","BM_10_551","HiSeq2500",6.1,"NA","NA","S111B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,551,38988268,37760606,0.017088337,"rnaSeq",,,,
"BM_36_304","BM_36_304","HiSeq2500",6.8,"NA","NA","S110B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,304,39002744,38287059,0.006706757,"rnaSeq",,,,
"hB_RNA_9150","hB_RNA_9150","HiSeq2500",6.8,"NA","NA","K75rC014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,9150,39037420,37658722,0.024352739,"rnaSeq",,,,
"hB_RNA_12917","hB_RNA_12917","HiSeq2500",6.5,"NA","NA","P62C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12917,39038812,37334157,0.0071415836,"rnaSeq",,,,
"BM_36_485","BM_36_485","HiSeq2500",4.6,"NA","NA","S151B648","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,485,39059974,38183697,0.0026420439,"rnaSeq",,,,
"hB_RNA_12762","hB_RNA_12762","HiSeq2500",4.6,"NA","NA","P62C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12762,39085179,37857749,0.008304535,"rnaSeq",,,,
"BM_10_716","BM_10_716","HiSeq2500",7.1,"NA","NA","S108B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,716,39087715,38228492,0.0025739963,"rnaSeq",,,,
"BM_36_413","BM_36_413","HiSeq2500",7.1,"NA","NA","S111B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,413,39106631,38345705,0.001287654,"rnaSeq",,,,
"hB_RNA_12804","hB_RNA_12804","HiSeq2500",6.1,"NA","NA","P62C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12804,39135810,37746214,0.004352277,"rnaSeq",,,,
"hB_RNA_10912","hB_RNA_10912","HiSeq2500",4.2,"NA","NA","K76C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10912,39145076,37497605,0.006628477,"rnaSeq",,,,
"BM_10_685","BM_10_685","HiSeq2500",6.9,"NA","NA","S107B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,685,39162636,38246983,0.0042430535,"rnaSeq",,,,
"hB_RNA_16295","hB_RNA_16295","HiSeq2500",10,"NA","NA","E008C189","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,16295,39175837,38450111,0.0031598867,"rnaSeq",,,,
"BM_22_159","BM_22_159","HiSeq2500",6.7,"NA","NA","S114B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,159,39177030,37611472,0.005769543,"rnaSeq",,,,
"BM_36_482","BM_36_482","HiSeq2500",6.6,"NA","NA","S151B648","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,482,39209050,38527822,0.0019055839,"rnaSeq",,,,
"BM_22_38","BM_22_38","HiSeq2500",5.2,"NA","NA","S113B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,38,39252447,38178325,0.0042745983,"rnaSeq",,,,
"hB_RNA_4531","hB_RNA_4531","HiSeq2500",3.5,"NA","NA","K82C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,4531,39255776,36670859,0.012572353,"rnaSeq",,,,
"BM_22_130","BM_22_130","HiSeq2500",6.3,"NA","NA","S114B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,130,39268127,37507983,0.0025876358,"rnaSeq",,,,
"hB_RNA_8325","hB_RNA_8325","HiSeq2500",6.1,"NA","NA","K85C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,8325,39297407,38485343,0.0066473614,"rnaSeq",,,,
"hB_RNA_16445","hB_RNA_16445","HiSeq2500",9.4,"NA","NA","E008C189","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,16445,39299855,38146773,0.0035874858,"rnaSeq",,,,
"BM_36_394","BM_36_394","HiSeq2500",7.3,"NA","NA","S111B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,394,39315008,38241262,0.0024172056,"rnaSeq",,,,
"BM_22_124","BM_22_124","HiSeq2500",6.4,"NA","NA","S114B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,124,39384304,38326758,0.0013432913,"rnaSeq",,,,
"hB_RNA_9035","hB_RNA_9035","HiSeq2500",5.5,"NA","NA","B18C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,9035,39416302,38573177,0.009676335,"rnaSeq",,,,
"hB_RNA_16125","hB_RNA_16125","HiSeq2500",8.8,"NA","NA","E008C189","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,16125,39428235,38682542,0.002433604,"rnaSeq",,,,
"hB_RNA_9203","hB_RNA_9203","HiSeq2500",7.1,"NA","NA","E2C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,9203,39440493,35705246,0.014543996,"rnaSeq",,,,
"BM_36_418","BM_36_418","HiSeq2500",6,"NA","NA","S111B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,418,39444605,38054753,0.0023285921,"rnaSeq",,,,
"hB_RNA_10472","hB_RNA_10472","HiSeq2500",5.3,"NA","NA","K77C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,10472,39451568,38334843,0.010446553,"rnaSeq",,,,
"hB_RNA_16265","hB_RNA_16265","HiSeq2500",8,"NA","NA","E008C189","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,16265,39502125,38690475,0.0029387854,"rnaSeq",,,,
"hB_RNA_8315","hB_RNA_8315","HiSeq2500",3.3,"NA","NA","K85C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,8315,39521639,38298655,0.022783201,"rnaSeq",,,,
"BM_36_491","BM_36_491","HiSeq2500",5.2,"NA","NA","S151B648","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,491,39562742,38551553,0.0025994284,"rnaSeq",,,,
"hB_RNA_9151","hB_RNA_9151","HiSeq2500",4.4,"NA","NA","K75rC014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,9151,39599175,38158120,0.01266619,"rnaSeq",,,,
"BM_36_449","BM_36_449","HiSeq2500",5.3,"NA","NA","S151B648","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,449,39612329,38769797,0.0023485809,"rnaSeq",,,,
"hB_RNA_8735","hB_RNA_8735","HiSeq2500",6.1,"NA","NA","K85C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,8735,39616687,38219197,0.048133325,"rnaSeq",,,,
"BM_10_635","BM_10_635","HiSeq2500",6.7,"NA","NA","S112B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,635,39631026,38768121,0.0012938466,"rnaSeq",,,,
"BM_10_604","BM_10_604","HiSeq2500",5.8,"NA","NA","S112B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,604,39652288,38467282,0.0018819891,"rnaSeq",,,,
"hB_RNA_8465","hB_RNA_8465","HiSeq2500",6,"NA","NA","K85C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,8465,39673377,38460060,0.0055630957,"rnaSeq",,,,
"BM_22_133","BM_22_133","HiSeq2500",6,"NA","NA","S114B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,133,39678383,38637102,0.001379943,"rnaSeq",,,,
"BM_22_163","BM_22_163","HiSeq2500",5.4,"NA","NA","S114B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,163,39694369,38448577,0.002934751,"rnaSeq",,,,
"BM_10_813","BM_10_813","HiSeq2500",8.8,"NA","NA","S109B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,813,39707017,38975535,0.0017134338,"rnaSeq",,,,
"BM_10_639","BM_10_639","HiSeq2500",7.6,"NA","NA","S112B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,639,39736039,39006448,0.006631929,"rnaSeq",,,,
"BM_10_718","BM_10_718","HiSeq2500",8.1,"NA","NA","S108B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,718,39875303,39100615,0.0025896523,"rnaSeq",,,,
"BM_36_354","BM_36_354","HiSeq2500",7,"NA","NA","S110B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,354,39878314,39088656,0.0018913927,"rnaSeq",,,,
"BM_22_148","BM_22_148","HiSeq2500",6.3,"NA","NA","S114B394","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,148,39913095,38648842,0.009377953,"rnaSeq",,,,
"hB_RNA_12865","hB_RNA_12865","HiSeq2500",7,"NA","NA","P62C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,12865,39950122,39124136,0.0034830163,"rnaSeq",,,,
"BM_36_341","BM_36_341","HiSeq2500",6.8,"NA","NA","S115B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,341,39963329,39266475,0.004824981,"rnaSeq",,,,
"hB_RNA_13134","hB_RNA_13134","HiSeq2500",4.1,"NA","NA","P62C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,13134,40026321,38787899,0.003110996,"rnaSeq",,,,
"BM_22_66","BM_22_66","HiSeq2500",5.9,"NA","NA","S113B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,66,40058313,39185904,0.0021303068,"rnaSeq",,,,
"BM_36_322","BM_36_322","HiSeq2500",6.9,"NA","NA","S110B355","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,322,40068298,39327018,0.0043580984,"rnaSeq",,,,
"hB_RNA_8655","hB_RNA_8655","HiSeq2500",6.4,"NA","NA","K85C014","rRNAdepletion","TruSeq","NA","NA","singleEnd",100,8655,40096400,39096670,0.012764437,"rnaSeq",,,,
